epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2288,1.4064,5.00071,1.04874,0,0,0,0,1.03506,4.743,0.94087,3.915e-05,3.915e-05,3.915e-05
2,24.5476,1.24188,4.75897,0.95899,0,0,0,0,1.01227,4.57569,0.8769,8.10135e-05,8.10135e-05,8.10135e-05
3,31.8145,1.19785,4.36546,0.92458,0.02257,0.18833,0.0305,0.01264,0.98405,4.56551,0.86881,0.000121154,0.000121154,0.000121154
4,39.9247,1.2039,4.02765,0.91122,0.0283,0.24299,0.0439,0.02819,0.99822,4.3876,0.86325,0.000159573,0.000159573,0.000159573
5,46.9545,1.17076,3.59838,0.91668,0.06522,0.39157,0.09147,0.05649,1.00784,4.25808,0.86654,0.000196269,0.000196269,0.000196269
6,54.9336,1.18499,3.21182,0.90343,0.09675,0.53247,0.17513,0.11125,1.20702,4.10322,0.90034,0.000231242,0.000231242,0.000231242
7,62.6632,1.16003,2.81559,0.9062,0.06107,0.70255,0.24993,0.1762,1.02396,3.8581,0.87146,0.000264492,0.000264492,0.000264492
8,70.3433,1.13464,2.45206,0.90178,0.06779,0.80971,0.34279,0.25573,0.94809,3.58615,0.88279,0.00029602,0.00029602,0.00029602
9,78.4329,1.07992,2.10649,0.90904,0.06227,0.86923,0.44245,0.32501,0.94068,3.20478,0.88185,0.000325825,0.000325825,0.000325825
10,85.4583,1.06785,1.86903,0.90062,0.06304,0.96303,0.54862,0.41361,0.94716,2.82214,0.89617,0.000353908,0.000353908,0.000353908
11,93.826,1.01874,1.66232,0.91342,0.44647,0.5309,0.53208,0.39702,1.00724,2.76211,0.919,0.00034887,0.00034887,0.00034887
12,100.71,1.03947,1.59078,0.89858,0.96295,0.32279,0.65364,0.51696,0.91099,2.34499,0.89983,0.000340257,0.000340257,0.000340257
13,108.839,0.98695,1.47675,0.90431,0.79492,0.44712,0.68958,0.53312,0.95334,2.07869,0.9113,0.000331644,0.000331644,0.000331644
14,116.047,0.97748,1.42072,0.88317,0.78303,0.57686,0.73275,0.57887,0.87171,1.75487,0.89243,0.000323031,0.000323031,0.000323031
15,123.682,0.94233,1.26172,0.88072,0.77174,0.64613,0.80372,0.63401,0.86338,1.59348,0.89217,0.000314418,0.000314418,0.000314418
16,132.121,0.9232,1.27271,0.87712,0.85277,0.76735,0.86172,0.66908,0.84329,1.26929,0.88278,0.000305805,0.000305805,0.000305805
17,138.996,0.8926,1.16545,0.87068,0.86453,0.78945,0.89123,0.68339,0.8718,1.22931,0.89946,0.000297192,0.000297192,0.000297192
18,147.043,0.93361,1.17655,0.88335,0.87361,0.80592,0.89578,0.67927,0.86395,1.10626,0.89707,0.000288579,0.000288579,0.000288579
19,153.867,0.90247,1.12561,0.8755,0.88663,0.80917,0.93766,0.73509,0.81725,0.85875,0.88305,0.000279966,0.000279966,0.000279966
20,163.166,0.91435,1.1184,0.87782,0.85755,0.85741,0.92685,0.71409,0.85158,0.85388,0.901,0.000271353,0.000271353,0.000271353
21,170.497,0.92518,1.0681,0.87704,0.87807,0.86342,0.93321,0.74732,0.78392,0.76919,0.87869,0.00026274,0.00026274,0.00026274
22,178.617,0.90688,1.0323,0.87674,0.91337,0.85377,0.95285,0.76498,0.8,0.73179,0.88353,0.000254127,0.000254127,0.000254127
23,186.097,0.88293,0.99584,0.87298,0.9004,0.89846,0.96949,0.77462,0.78251,0.76326,0.87566,0.000245514,0.000245514,0.000245514
24,193.658,0.87638,0.98426,0.87805,0.87776,0.91275,0.96835,0.77386,0.77353,0.6756,0.87604,0.000236901,0.000236901,0.000236901
25,201.499,0.87123,0.95499,0.86794,0.9049,0.86841,0.95948,0.7526,0.80498,0.68671,0.88172,0.000228288,0.000228288,0.000228288
26,208.635,0.8644,0.95224,0.86878,0.91432,0.89449,0.95594,0.77607,0.77587,0.66725,0.87734,0.000219675,0.000219675,0.000219675
27,216.641,0.82124,0.89698,0.86882,0.9229,0.93174,0.97756,0.79204,0.75583,0.62015,0.87294,0.000211062,0.000211062,0.000211062
28,223.599,0.84968,0.90979,0.87369,0.91616,0.90311,0.97097,0.78612,0.77051,0.60828,0.87475,0.000202449,0.000202449,0.000202449
29,231.461,0.82708,0.88812,0.86436,0.91476,0.91977,0.97386,0.79724,0.74615,0.6319,0.87546,0.000193836,0.000193836,0.000193836
30,239.087,0.82378,0.85147,0.85901,0.91544,0.8854,0.95428,0.7663,0.76025,0.62343,0.87904,0.000185223,0.000185223,0.000185223
31,246.849,0.81135,0.83408,0.85355,0.89483,0.93838,0.96834,0.79345,0.73386,0.57716,0.86952,0.00017661,0.00017661,0.00017661
32,254.5,0.83873,0.86915,0.8644,0.92704,0.94678,0.98436,0.8053,0.73423,0.55553,0.8698,0.000167997,0.000167997,0.000167997
33,261.83,0.80197,0.80932,0.85279,0.91222,0.95464,0.97528,0.7934,0.72546,0.55519,0.87045,0.000159384,0.000159384,0.000159384
34,269.999,0.81299,0.8059,0.85749,0.93927,0.96316,0.98523,0.79124,0.74925,0.56121,0.87311,0.000150771,0.000150771,0.000150771
35,276.841,0.7928,0.80932,0.85635,0.93596,0.96202,0.98548,0.803,0.72452,0.57098,0.86661,0.000142158,0.000142158,0.000142158
36,285.118,0.78781,0.77895,0.85567,0.93649,0.9474,0.9864,0.80147,0.71868,0.54701,0.86819,0.000133545,0.000133545,0.000133545
37,292.247,0.77627,0.76873,0.85748,0.92484,0.95238,0.98454,0.79805,0.73508,0.54313,0.87009,0.000124932,0.000124932,0.000124932
38,299.881,0.78198,0.78085,0.84712,0.94841,0.94432,0.9826,0.80566,0.72522,0.52899,0.87016,0.000116319,0.000116319,0.000116319
39,307.739,0.78911,0.77683,0.85302,0.95483,0.95128,0.98565,0.7993,0.73513,0.52649,0.87135,0.000107706,0.000107706,0.000107706
40,316.33,0.78956,0.77278,0.85838,0.95063,0.93868,0.97606,0.79328,0.74351,0.53234,0.86928,9.9093e-05,9.9093e-05,9.9093e-05
41,329.824,0.76305,0.87468,0.85268,0.93632,0.94253,0.97483,0.79498,0.73926,0.58135,0.86986,9.048e-05,9.048e-05,9.048e-05
42,338.234,0.74773,0.79686,0.85637,0.92072,0.95305,0.97528,0.79697,0.74506,0.61025,0.8699,8.1867e-05,8.1867e-05,8.1867e-05
43,345.203,0.74042,0.78753,0.8535,0.91453,0.9471,0.98077,0.80254,0.73398,0.56104,0.86369,7.3254e-05,7.3254e-05,7.3254e-05
44,352.908,0.71841,0.77854,0.84348,0.92786,0.93648,0.97716,0.79289,0.74375,0.56354,0.86824,6.4641e-05,6.4641e-05,6.4641e-05
45,359.951,0.71194,0.74917,0.84376,0.95092,0.91982,0.97278,0.78684,0.73632,0.54451,0.86648,5.6028e-05,5.6028e-05,5.6028e-05
46,367.261,0.71654,0.74331,0.84357,0.94507,0.93042,0.97666,0.80283,0.71733,0.52679,0.86413,4.7415e-05,4.7415e-05,4.7415e-05
47,374.616,0.71859,0.76243,0.85005,0.9437,0.92888,0.97259,0.79365,0.72339,0.52654,0.86546,3.8802e-05,3.8802e-05,3.8802e-05
48,381.736,0.70496,0.72364,0.84332,0.948,0.92764,0.97112,0.79133,0.72739,0.52904,0.8668,3.0189e-05,3.0189e-05,3.0189e-05
