epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.9,1.34318,4.97145,1.03101,0,0,0,0,1.01341,4.95209,0.92218,3.915e-05,3.915e-05,3.915e-05
2,714.361,1.24825,4.72171,0.9532,0,0,0,0,1.07614,4.82385,0.88521,7.93771e-05,7.93771e-05,7.93771e-05
3,1052.7,1.21033,4.35499,0.91891,0.02592,0.16766,0.04166,0.01911,1.02737,4.76494,0.86928,0.000116159,0.000116159,0.000116159
4,1399.25,1.23346,4.01534,0.91299,0.09235,0.20654,0.08257,0.05725,1.03553,4.6363,0.87409,0.000149496,0.000149496,0.000149496
5,1737.15,1.1601,3.62361,0.91137,0.0495,0.36609,0.07606,0.0471,0.96562,4.55127,0.85564,0.000179387,0.000179387,0.000179387
6,2072.08,1.15319,3.15869,0.90957,0.0908,0.53093,0.15173,0.10366,1.07173,4.36774,0.87084,0.000205833,0.000205833,0.000205833
7,2408.98,1.14054,2.78748,0.90772,0.06394,0.62411,0.19477,0.14516,0.95133,4.22476,0.88509,0.000228834,0.000228834,0.000228834
8,2745.05,1.08678,2.46081,0.89515,0.06352,0.73564,0.32818,0.24087,0.96608,3.9271,0.8906,0.00024839,0.00024839,0.00024839
9,3082.11,1.08587,2.15111,0.90198,0.06614,0.88575,0.44426,0.33139,0.92738,3.57034,0.87431,0.000264501,0.000264501,0.000264501
10,3423,1.0499,1.93536,0.88837,0.41164,0.54118,0.52965,0.3889,0.92677,3.11097,0.89181,0.000277166,0.000277166,0.000277166
11,3759.06,1.04791,1.7576,0.90009,0.99494,0.20932,0.61794,0.45992,0.96779,2.8395,0.906,0.00026274,0.00026274,0.00026274
12,4095.05,0.99509,1.63098,0.8921,0.88744,0.33226,0.64299,0.48309,0.92753,2.55445,0.89888,0.000245514,0.000245514,0.000245514
13,4437.05,0.98262,1.51802,0.89399,0.84796,0.39684,0.67609,0.51948,0.89182,2.32921,0.89683,0.000228288,0.000228288,0.000228288
14,4777.31,0.95483,1.46443,0.87585,0.75291,0.52215,0.68384,0.5506,0.83317,2.00275,0.88043,0.000211062,0.000211062,0.000211062
15,5115.59,0.96114,1.41375,0.89456,0.70082,0.65506,0.75938,0.59661,0.83733,1.80742,0.87623,0.000193836,0.000193836,0.000193836
16,5456.04,0.90725,1.48047,0.88764,0.8862,0.52471,0.74141,0.59488,0.83443,2.08698,0.88195,0.00017661,0.00017661,0.00017661
17,5796.35,0.84818,1.34624,0.87495,0.83503,0.7192,0.84443,0.66205,0.81036,1.56816,0.87041,0.000159384,0.000159384,0.000159384
18,6132.97,0.86197,1.29766,0.87882,0.91185,0.74361,0.86012,0.68121,0.81469,1.45385,0.8726,0.000142158,0.000142158,0.000142158
19,6460.85,0.84144,1.24866,0.87981,0.89469,0.80837,0.8814,0.70185,0.79641,1.23375,0.8666,0.000124932,0.000124932,0.000124932
20,6788.49,0.82992,1.23091,0.86886,0.87706,0.81535,0.87164,0.67843,0.84236,1.15949,0.87986,0.000107706,0.000107706,0.000107706
21,7120.69,0.82711,1.18723,0.87227,0.83483,0.80989,0.88871,0.71394,0.78608,1.0954,0.86899,9.048e-05,9.048e-05,9.048e-05
22,7457.01,0.81788,1.13709,0.86574,0.86869,0.8229,0.89412,0.71334,0.78455,1.03123,0.86829,7.3254e-05,7.3254e-05,7.3254e-05
23,7788.27,0.79447,1.11073,0.86566,0.87668,0.83448,0.92303,0.74269,0.76314,1.00187,0.86495,5.6028e-05,5.6028e-05,5.6028e-05
24,8112.18,0.7862,1.0783,0.85935,0.90469,0.82847,0.92424,0.74012,0.77882,0.97672,0.8673,3.8802e-05,3.8802e-05,3.8802e-05
25,8442.24,0.80382,1.11425,0.86489,0.92175,0.83484,0.92022,0.73991,0.76124,0.96312,0.86576,2.1576e-05,2.1576e-05,2.1576e-05
