epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1305,1.33953,5.16787,1.05876,0.11353,0.18052,0.06188,0.03948,1.02754,3.83396,0.97505,3.915e-05,3.915e-05,3.915e-05
2,27.3364,1.08806,3.74545,0.95426,0.62523,0.23367,0.20324,0.15828,0.85027,4.79707,0.90923,8.10135e-05,8.10135e-05,8.10135e-05
3,36.8913,1.00367,2.36571,0.9312,0.53274,0.54656,0.53077,0.42679,0.79591,2.08143,0.89393,0.000121154,0.000121154,0.000121154
4,45.1289,0.95812,1.71615,0.90258,0.74078,0.70311,0.81997,0.65877,0.79747,1.21234,0.89089,0.000159573,0.000159573,0.000159573
5,54.2416,0.91566,1.22024,0.90347,0.84215,0.80916,0.91015,0.71514,0.81556,0.92276,0.8891,0.000196269,0.000196269,0.000196269
6,63.0021,0.89315,1.0737,0.8869,0.82226,0.91392,0.93445,0.74829,0.77034,0.81093,0.88779,0.000231242,0.000231242,0.000231242
7,71.2516,0.85682,0.93933,0.88759,0.91111,0.90052,0.96691,0.78166,0.7566,0.66494,0.89574,0.000264492,0.000264492,0.000264492
8,79.7627,0.84253,0.8315,0.87862,0.87679,0.90948,0.96398,0.78442,0.7488,0.63389,0.88435,0.00029602,0.00029602,0.00029602
9,88.3098,0.82584,0.76662,0.88029,0.88214,0.92647,0.95879,0.72747,0.87261,0.67816,0.90695,0.000325825,0.000325825,0.000325825
10,96.5103,0.82579,0.69812,0.86845,0.89898,0.88314,0.96202,0.74584,0.82293,0.6637,0.90105,0.000353908,0.000353908,0.000353908
11,105.994,0.80442,0.68439,0.88419,0.88843,0.93261,0.95685,0.75956,0.80622,0.58903,0.91005,0.00034887,0.00034887,0.00034887
12,114.226,0.80102,0.6534,0.86852,0.91336,0.93892,0.97517,0.8105,0.71444,0.50424,0.8829,0.000340257,0.000340257,0.000340257
13,122.762,0.76282,0.63088,0.8724,0.90573,0.94422,0.98232,0.8068,0.71554,0.49293,0.88335,0.000331644,0.000331644,0.000331644
14,131.056,0.7607,0.60311,0.85253,0.95688,0.94511,0.98405,0.81437,0.68895,0.46763,0.87509,0.000323031,0.000323031,0.000323031
15,139.215,0.75387,0.57301,0.85346,0.90274,0.87485,0.95727,0.76618,0.7782,0.62524,0.89167,0.000314418,0.000314418,0.000314418
16,147.619,0.7469,0.56,0.85377,0.94297,0.98559,0.98955,0.8329,0.67417,0.43885,0.87444,0.000305805,0.000305805,0.000305805
17,156.277,0.72949,0.53247,0.85202,0.94653,0.97454,0.98887,0.8288,0.68001,0.43445,0.87386,0.000297192,0.000297192,0.000297192
18,164.371,0.75225,0.53934,0.85768,0.967,0.9608,0.98922,0.82726,0.67696,0.41546,0.8718,0.000288579,0.000288579,0.000288579
19,173.05,0.72066,0.50282,0.85119,0.92228,0.9288,0.97701,0.78796,0.73995,0.49193,0.88584,0.000279966,0.000279966,0.000279966
20,181.399,0.7289,0.52281,0.85183,0.95575,0.91924,0.98757,0.83865,0.65421,0.43169,0.86645,0.000271353,0.000271353,0.000271353
21,190.867,0.73622,0.50662,0.84612,0.93898,0.93264,0.97418,0.80105,0.68396,0.43653,0.87237,0.00026274,0.00026274,0.00026274
22,202.357,0.7257,0.49639,0.84797,0.9235,0.96934,0.98279,0.82686,0.67643,0.42092,0.87041,0.000254127,0.000254127,0.000254127
23,211.165,0.70336,0.48052,0.84481,0.90973,0.96738,0.98628,0.83716,0.64165,0.42383,0.86226,0.000245514,0.000245514,0.000245514
24,219.209,0.69707,0.48479,0.85046,0.94759,0.96106,0.98779,0.83244,0.66092,0.4037,0.8661,0.000236901,0.000236901,0.000236901
25,227.758,0.71438,0.47248,0.84608,0.94154,0.96571,0.98695,0.84581,0.63174,0.38589,0.85787,0.000228288,0.000228288,0.000228288
26,236.451,0.69042,0.45409,0.84182,0.96333,0.96984,0.98715,0.84967,0.61314,0.37148,0.85364,0.000219675,0.000219675,0.000219675
27,244.638,0.66086,0.44384,0.8431,0.95972,0.96019,0.98669,0.84926,0.61103,0.39825,0.85594,0.000211062,0.000211062,0.000211062
28,253.294,0.67672,0.44503,0.85085,0.94972,0.95096,0.98311,0.83484,0.63666,0.38623,0.85523,0.000202449,0.000202449,0.000202449
29,262.301,0.65914,0.42895,0.84043,0.95101,0.97969,0.98707,0.84191,0.62021,0.38008,0.85494,0.000193836,0.000193836,0.000193836
30,270.526,0.66248,0.43213,0.83701,0.95148,0.95865,0.98791,0.84426,0.62855,0.37345,0.85691,0.000185223,0.000185223,0.000185223
31,279.07,0.64996,0.41352,0.83104,0.94552,0.95495,0.98452,0.83278,0.63161,0.36313,0.85857,0.00017661,0.00017661,0.00017661
32,288.09,0.67531,0.42871,0.84266,0.94009,0.97072,0.98555,0.84022,0.62893,0.35952,0.85492,0.000167997,0.000167997,0.000167997
33,296.554,0.64683,0.40059,0.83122,0.95584,0.96274,0.98333,0.84293,0.62395,0.35968,0.85632,0.000159384,0.000159384,0.000159384
34,304.89,0.63349,0.40255,0.82874,0.91931,0.95464,0.98572,0.83252,0.63131,0.38516,0.85769,0.000150771,0.000150771,0.000150771
35,313.705,0.6189,0.39605,0.8278,0.95793,0.95761,0.98347,0.83895,0.61535,0.36628,0.85614,0.000142158,0.000142158,0.000142158
36,321.669,0.62174,0.38636,0.82931,0.94869,0.93527,0.97247,0.823,0.6557,0.40553,0.86434,0.000133545,0.000133545,0.000133545
